variable,variable_num
difficulties.no_food,98
difficulties.risk_of_mines,99
difficulties.risk_of_airstrike,100
difficulties.dangerous_river_crossing.,101
difficulties.risk_of_direct_shooting,103
difficulties.risk_of_indirect_fire.,104
difficulties.travelling_children_elderly,105
difficulties.travelling_disabled_ill,106
difficulties.sleep_open,107
difficulties.blocked_routes,108
difficulties.none,110
item_bring.cash,111
item_bring.identification_papers,112
item_bring.water,113
item_bring.clothes,114
item_bring.household_furniture,115
item_bring.food,116
noidavg,118
priority_need.clean_water,119
priority_need.sanitation_services,120
priority_need.electricity,121
priority_need.food,122
priority_need.shelter,123
priority_need.heathcare,124
priority_need.medicine,125
priority_need.nfis,126
priority_need.dont_know,127
intent_two_days_family_friends_dohuk,129
intent_two_days_family_friends_kri,130
intent_two_days_camp,131
intent_two_days_hotel,132
intent_two_days_own_home,133
intent_two_days_dont_know,134
intent_two_days_other,135
reason_intent_no_choice,136
reason_intent_no_options,137
reason_intent_family_host,138
reason_intent_other,139
relatives_kri_yes,140
relatives_kri_no,141
relatives_kri_dont_know,142
relatives_kri_refuse,143
intent_two_weeks_family_friends_dohuk,144
intent_two_weeks_family_friends_kri,145
intent_two_weeks_hotel,147
intent_two_weeks_own_home,148
intent_two_weeks_dont_know,149
intent_two_weeks_no_intention,150
intent_two_weeks_other,151
intent_return_yes,152
intent_return_no,153
intent_return_dont_know,154
intent_return_refuse,155
location_interview_border_rabea,
location_interview_rc_peshkhabor,
nationality_ki_iraqi,
nationality_ki_other,
nationality_ki_syrian,
nationality_other,
reason_displace_other,
reason_displace_other_home_destr,
male_0_17,
female_0_17,
male_18_60,
female_18_60,
male_60,
female_60,
group_size,
unaccompanied_number,
disabled_number,
pregnant_number,
memb_left_nr,
governorate_origin_aleppo,
governorate_origin_deir_al_zor,
governorate_origin_hasakah,
governorate_origin_other,
governorate_origin_raqqa,
governorate_or_other,
district_origin_a_zaz,
district_origin_abu_kamal,
district_origin_afrin,
district_origin_ain_al_arab,
district_origin_al_bab,
district_origin_al_hasakeh,
district_origin_al_malikeyyeh,
district_origin_al_mayadin,
district_origin_ar_raqqa,
district_origin_as_safira,
district_origin_ath_thawrah,
district_origin_deir_ez_zor,
district_origin_jarablus,
district_origin_jebel_saman,
district_origin_menbij,
district_origin_other,
district_origin_quamishli,
district_origin_ras_al_ain,
district_origin_tell_abiad,
district_or_other,
subdistrict_origin_a_rima,
subdistrict_origin_abu_kamal,
subdistrict_origin_abu_qalqal,
subdistrict_origin_afrin,
subdistrict_origin_aghtrin,
subdistrict_origin_ain_al_arab,
subdistrict_origin_al_hasakeh,
subdistrict_origin_al_malikeyyeh,
subdistrict_origin_al_mayadin,
subdistrict_origin_al_thawrah,
subdistrict_origin_amuda,
subdistrict_origin_ar_raee,
subdistrict_origin_ar_raqqa,
subdistrict_origin_areesheh,
subdistrict_origin_as_safira,
subdistrict_origin_ashara,
subdistrict_origin_atareb,
subdistrict_origin_azaz,
subdistrict_origin_banan,
subdistrict_origin_basira,
subdistrict_origin_ber_al_hulo_al_wardeyyeh,
subdistrict_origin_bulbul,
subdistrict_origin_darbasiyah,
subdistrict_origin_daret_azza,
subdistrict_origin_dayr_hafir,
subdistrict_origin_eastern_kwaires.,
subdistrict_origin_ghandorah,
subdistrict_origin_hadher,
subdistrict_origin_hajeb,
subdistrict_origin_hajin,
subdistrict_origin_haritan,
subdistrict_origin_hole,
subdistrict_origin_jalaa,
subdistrict_origin_jarablus,
subdistrict_origin_jawadiyah,
subdistrict_origin_jebel_saman,
subdistrict_origin_jurneyyeh,
subdistrict_origin_karama,
subdistrict_origin_khanaser,
subdistrict_origin_khasham,
subdistrict_origin_kisreh,
subdistrict_origin_ma_btali,
subdistrict_origin_maadan,
subdistrict_origin_mansura,
subdistrict_origin_mare,
subdistrict_origin_markada,
subdistrict_origin_maskana,
subdistrict_origin_menbij,
subdistrict_origin_muhasan,
subdistrict_origin_nabul,
subdistrict_origin_other,
subdistrict_origin_qahtaniyyeh,
subdistrict_origin_quamishli,
subdistrict_origin_raju,
subdistrict_origin_ras_al_ain,
subdistrict_origin_rasm_haram_el_imam,
subdistrict_origin_sabka,
subdistrict_origin_sarin,
subdistrict_origin_shadadah,
subdistrict_origin_sharan,
subdistrict_origin_sheikh_el_hadid,
subdistrict_origin_suluk,
subdistrict_origin_sur,
subdistrict_origin_suran,
subdistrict_origin_susat,
subdistrict_origin_tabni,
subdistrict_origin_tadaf,
subdistrict_origin_tal_hmis,
subdistrict_origin_tal_tamer,
subdistrict_origin_tall_ed_daman,
subdistrict_origin_tall_refaat,
subdistrict_origin_tell_abiad,
subdistrict_origin_thiban,
subdistrict_origin_ya_robiyah,
subdistrict_origin_zarbah,
subdistrict_or_other,
direction_choice_other.1,
stop_points_no,
stop_points_yes,
stop_points_loc_district_a_zaz.al_malikeyyeh.ras_al_ain.tell_abiad.al_mayadin.deir_ez_zor,
stop_points_loc_district_a_zaz.jarablus.al_malikeyyeh.quamishli.ras_al_ain.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_a_zaz.jarablus.jebel_saman.menbij.al_malikeyyeh.abu_kamal.other,
stop_points_loc_district_afrin.a_zaz.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.abu_kamal.other,
stop_points_loc_district_afrin.a_zaz.jarablus.menbij.al_malikeyyeh.quamishli.ras_al_ain.ath_thawrah.tell_abiad.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_afrin.a_zaz.jarablus.menbij.ras_al_ain.ath_thawrah.tell_abiad.abu_kamal,
stop_points_loc_district_afrin.a_zaz.jebel_saman.al_hasakeh.ath_thawrah.tell_abiad.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.a_zaz.al_hasakeh.al_malikeyyeh.quamishli.ar_raqqa.ath_thawrah.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.a_zaz.al_hasakeh.quamishli.ath_thawrah.tell_abiad.abu_kamal,
stop_points_loc_district_afrin.ain_al_arab.a_zaz.al_malikeyyeh.ras_al_ain.ath_thawrah.tell_abiad.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.a_zaz.jarablus.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ath_thawrah.abu_kamal.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.a_zaz.jebel_saman.al_hasakeh.ath_thawrah.tell_abiad.al_mayadin.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.a_zaz.jarablus.jebel_saman.menbij,
stop_points_loc_district_afrin.ain_al_arab.al_bab.a_zaz.jarablus.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.tell_abiad.al_mayadin.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.al_bab.a_zaz.jarablus.jebel_saman.ras_al_ain.tell_abiad.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.a_zaz.jebel_saman.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ath_thawrah.tell_abiad.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.a_zaz.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.quamishli.al_mayadin,
stop_points_loc_district_afrin.ain_al_arab.al_bab.a_zaz.jebel_saman.menbij.al_hasakeh.quamishli.ar_raqqa.tell_abiad.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.a_zaz.jebel_saman.menbij.quamishli.ras_al_ain.al_mayadin.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.a_zaz.menbij.al_hasakeh.al_malikeyyeh.quamishli.abu_kamal.al_mayadin,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.a_zaz.al_hasakeh.ras_al_ain.ath_thawrah.tell_abiad.abu_kamal.al_mayadin,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.a_zaz.jarablus.al_hasakeh.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.a_zaz.jarablus.jebel_saman.al_hasakeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.al_mayadin,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.a_zaz.jarablus.quamishli.ras_al_ain.ar_raqqa.abu_kamal.al_mayadin.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.a_zaz.jarablus.ras_al_ain.ath_thawrah,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.a_zaz.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.quamishli.ar_raqqa.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.al_hasakeh.ath_thawrah.abu_kamal.al_mayadin.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.jarablus.jebel_saman.menbij.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.al_bab.as_safira.menbij.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.abu_kamal.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.jarablus.al_hasakeh.al_malikeyyeh.quamishli.ar_raqqa.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.jarablus.jebel_saman.menbij.al_hasakeh.ras_al_ain.ath_thawrah.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.jarablus.menbij.al_malikeyyeh.tell_abiad.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.al_bab.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.ar_raqqa.abu_kamal.al_mayadin.other,
stop_points_loc_district_afrin.ain_al_arab.al_bab.menbij.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.as_safira.a_zaz.al_hasakeh.ras_al_ain.ath_thawrah.abu_kamal.al_mayadin.other,
stop_points_loc_district_afrin.ain_al_arab.as_safira.a_zaz.al_hasakeh.ras_al_ain.tell_abiad.abu_kamal.al_mayadin.other,
stop_points_loc_district_afrin.ain_al_arab.as_safira.a_zaz.jarablus.al_malikeyyeh.quamishli.ras_al_ain.ath_thawrah.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.as_safira.a_zaz.jarablus.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ath_thawrah.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.as_safira.a_zaz.jarablus.jebel_saman.quamishli.ar_raqqa.abu_kamal.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.as_safira.a_zaz.jebel_saman.al_hasakeh.quamishli.ras_al_ain.ar_raqqa.abu_kamal.other,
stop_points_loc_district_afrin.ain_al_arab.as_safira.a_zaz.jebel_saman.al_malikeyyeh.ar_raqqa.ath_thawrah.tell_abiad.al_mayadin.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.as_safira.a_zaz.quamishli.ar_raqqa.ath_thawrah.tell_abiad.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.as_safira.jebel_saman.al_hasakeh.quamishli.ath_thawrah.al_mayadin,
stop_points_loc_district_afrin.ain_al_arab.as_safira.jebel_saman.al_hasakeh.ras_al_ain.ar_raqqa.tell_abiad.deir_ez_zor,
stop_points_loc_district_afrin.ain_al_arab.as_safira.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.quamishli.ath_thawrah.tell_abiad.abu_kamal.al_mayadin,
stop_points_loc_district_afrin.ain_al_arab.jarablus.al_hasakeh.ar_raqqa.ath_thawrah.tell_abiad.abu_kamal.other,
stop_points_loc_district_afrin.ain_al_arab.jarablus.jebel_saman.al_malikeyyeh.ath_thawrah.tell_abiad.abu_kamal.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.jebel_saman.menbij.abu_kamal.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.ain_al_arab.jebel_saman.quamishli.ar_raqqa.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.al_bab.a_zaz.jarablus.ras_al_ain.tell_abiad.al_mayadin.deir_ez_zor,
stop_points_loc_district_afrin.al_bab.a_zaz.jebel_saman.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ath_thawrah.tell_abiad.al_mayadin.other,
stop_points_loc_district_afrin.al_bab.a_zaz.jebel_saman.al_malikeyyeh.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.abu_kamal,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.abu_kamal.al_mayadin.deir_ez_zor,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jarablus.al_hasakeh.al_malikeyyeh.ras_al_ain.ath_thawrah.tell_abiad.deir_ez_zor,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jarablus.al_hasakeh.ar_raqqa.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jarablus.jebel_saman.menbij.al_hasakeh.ar_raqqa.abu_kamal,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jarablus.jebel_saman.menbij.al_malikeyyeh.ath_thawrah.abu_kamal.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jarablus.quamishli.ras_al_ain.ar_raqqa.abu_kamal,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jebel_saman.al_hasakeh.al_malikeyyeh.ar_raqqa.tell_abiad.deir_ez_zor.other,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jebel_saman.al_hasakeh.al_malikeyyeh.quamishli.ar_raqqa.tell_abiad.abu_kamal.deir_ez_zor,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jebel_saman.al_hasakeh.quamishli.ar_raqqa.abu_kamal.other,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jebel_saman.al_malikeyyeh.quamishli.ar_raqqa.ath_thawrah.tell_abiad.al_mayadin,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.jebel_saman.menbij.ar_raqqa.al_mayadin,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.menbij.al_hasakeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.other,
stop_points_loc_district_afrin.al_bab.as_safira.a_zaz.menbij.ath_thawrah.tell_abiad.abu_kamal.al_mayadin,
stop_points_loc_district_afrin.al_bab.as_safira.jarablus.jebel_saman.menbij.al_malikeyyeh.quamishli.ras_al_ain.abu_kamal,
stop_points_loc_district_afrin.al_bab.as_safira.jebel_saman.al_hasakeh.al_malikeyyeh.tell_abiad.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_afrin.al_bab.as_safira.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.ras_al_ain.ath_thawrah.tell_abiad.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.al_bab.as_safira.jebel_saman.menbij.al_hasakeh.quamishli.ras_al_ain.ar_raqqa.tell_abiad,
stop_points_loc_district_afrin.al_bab.as_safira.menbij.al_malikeyyeh.ras_al_ain.ath_thawrah.abu_kamal.al_mayadin.other,
stop_points_loc_district_afrin.al_bab.jarablus.jebel_saman.al_hasakeh.tell_abiad.abu_kamal.other,
stop_points_loc_district_afrin.al_bab.jarablus.jebel_saman.menbij.al_malikeyyeh.quamishli.ras_al_ain.tell_abiad.al_mayadin.other,
stop_points_loc_district_afrin.al_bab.jarablus.menbij.quamishli.al_mayadin.other,
stop_points_loc_district_afrin.al_bab.jebel_saman.menbij.al_malikeyyeh.ras_al_ain.ar_raqqa.tell_abiad.abu_kamal,
stop_points_loc_district_afrin.al_bab.menbij.ar_raqqa.al_mayadin.other,
stop_points_loc_district_afrin.as_safira.a_zaz.al_hasakeh.al_malikeyyeh.quamishli.abu_kamal.al_mayadin,
stop_points_loc_district_afrin.as_safira.a_zaz.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.tell_abiad.abu_kamal.deir_ez_zor,
stop_points_loc_district_afrin.as_safira.a_zaz.ar_raqqa.deir_ez_zor,
stop_points_loc_district_afrin.as_safira.a_zaz.jarablus.jebel_saman.menbij.al_hasakeh.quamishli.tell_abiad.al_mayadin.deir_ez_zor,
stop_points_loc_district_afrin.as_safira.a_zaz.jarablus.jebel_saman.menbij.ras_al_ain.ath_thawrah.tell_abiad.deir_ez_zor.other,
stop_points_loc_district_afrin.as_safira.a_zaz.menbij.al_hasakeh.ras_al_ain.tell_abiad.abu_kamal.other,
stop_points_loc_district_afrin.as_safira.al_hasakeh.ras_al_ain.tell_abiad.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_afrin.as_safira.jarablus.abu_kamal.deir_ez_zor,
stop_points_loc_district_afrin.as_safira.jarablus.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.abu_kamal.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_afrin.as_safira.jarablus.jebel_saman.menbij.al_hasakeh.ar_raqqa.ath_thawrah.al_mayadin,
stop_points_loc_district_afrin.as_safira.jarablus.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.al_mayadin.other,
stop_points_loc_district_afrin.as_safira.jarablus.menbij.al_hasakeh.al_malikeyyeh.ras_al_ain.ath_thawrah.abu_kamal.other,
stop_points_loc_district_afrin.as_safira.menbij.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.tell_abiad.al_mayadin.other,
stop_points_loc_district_afrin.as_safira.menbij.al_malikeyyeh.ras_al_ain.ath_thawrah.deir_ez_zor.other,
stop_points_loc_district_afrin.jarablus.jebel_saman.menbij.al_malikeyyeh.quamishli.ar_raqqa.ath_thawrah.deir_ez_zor.other,
stop_points_loc_district_afrin.jarablus.jebel_saman.ras_al_ain.ar_raqqa.tell_abiad.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_afrin.jarablus.menbij.al_hasakeh.al_malikeyyeh.ras_al_ain.ath_thawrah.tell_abiad.al_mayadin,
stop_points_loc_district_afrin.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.al_mayadin.deir_ez_zor,
stop_points_loc_district_afrin.menbij.al_malikeyyeh.tell_abiad.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_ain_al_arab.a_zaz.al_hasakeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.abu_kamal,
stop_points_loc_district_ain_al_arab.a_zaz.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.tell_abiad.abu_kamal.other,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.al_hasakeh.al_malikeyyeh.ath_thawrah.abu_kamal.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.al_hasakeh.ath_thawrah.abu_kamal.al_mayadin.deir_ez_zor,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.al_hasakeh.ras_al_ain.ath_thawrah.tell_abiad,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.al_malikeyyeh.ath_thawrah.tell_abiad.deir_ez_zor.other,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.jebel_saman.ar_raqqa,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.jebel_saman.menbij.al_hasakeh.ras_al_ain.tell_abiad.abu_kamal.deir_ez_zor,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.jebel_saman.menbij.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.abu_kamal.other,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa,
stop_points_loc_district_ain_al_arab.a_zaz.jarablus.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.abu_kamal.deir_ez_zor.other,
stop_points_loc_district_ain_al_arab.a_zaz.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ath_thawrah.abu_kamal.al_mayadin,
stop_points_loc_district_ain_al_arab.a_zaz.menbij.al_malikeyyeh.quamishli.ar_raqqa.ath_thawrah.tell_abiad.abu_kamal.al_mayadin,
stop_points_loc_district_ain_al_arab.a_zaz.quamishli.ras_al_ain.abu_kamal.other,
stop_points_loc_district_ain_al_arab.al_bab.a_zaz.al_hasakeh.al_malikeyyeh.quamishli.ath_thawrah.al_mayadin,
stop_points_loc_district_ain_al_arab.al_bab.a_zaz.menbij.ras_al_ain.ar_raqqa.ath_thawrah.abu_kamal.deir_ez_zor,
stop_points_loc_district_ain_al_arab.al_bab.a_zaz.menbij.ras_al_ain.tell_abiad.deir_ez_zor,
stop_points_loc_district_ain_al_arab.al_bab.a_zaz.quamishli.ras_al_ain.ath_thawrah.tell_abiad.deir_ez_zor.other,
stop_points_loc_district_ain_al_arab.al_bab.al_hasakeh.ras_al_ain.ar_raqqa.ath_thawrah.deir_ez_zor,
stop_points_loc_district_ain_al_arab.al_bab.as_safira.a_zaz.al_hasakeh.al_malikeyyeh.quamishli.ar_raqqa.abu_kamal.al_mayadin.other,
stop_points_loc_district_ain_al_arab.al_bab.as_safira.a_zaz.jarablus.al_hasakeh.al_malikeyyeh.quamishli.ar_raqqa,
stop_points_loc_district_ain_al_arab.al_bab.as_safira.a_zaz.jarablus.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.al_mayadin,
stop_points_loc_district_ain_al_arab.al_bab.as_safira.a_zaz.jarablus.jebel_saman.menbij.al_malikeyyeh.quamishli.ras_al_ain.other,
stop_points_loc_district_ain_al_arab.al_bab.as_safira.a_zaz.jarablus.jebel_saman.quamishli.tell_abiad.al_mayadin,
stop_points_loc_district_ain_al_arab.al_bab.as_safira.a_zaz.jarablus.menbij.al_hasakeh.quamishli.ras_al_ain,
stop_points_loc_district_ain_al_arab.al_bab.as_safira.jebel_saman.al_hasakeh.quamishli.ar_raqqa,
stop_points_loc_district_ain_al_arab.al_bab.as_safira.jebel_saman.menbij.al_malikeyyeh.quamishli.ath_thawrah.abu_kamal.deir_ez_zor,
stop_points_loc_district_ain_al_arab.al_bab.jarablus.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.tell_abiad.abu_kamal.al_mayadin.deir_ez_zor,
stop_points_loc_district_ain_al_arab.al_bab.jarablus.jebel_saman.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.al_mayadin.deir_ez_zor,
stop_points_loc_district_ain_al_arab.al_bab.jarablus.jebel_saman.menbij.al_hasakeh.tell_abiad.other,
stop_points_loc_district_ain_al_arab.al_bab.jarablus.menbij.al_hasakeh.al_malikeyyeh.quamishli.ath_thawrah.abu_kamal.al_mayadin.deir_ez_zor,
stop_points_loc_district_ain_al_arab.al_bab.jebel_saman.menbij.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.abu_kamal.al_mayadin.deir_ez_zor,
stop_points_loc_district_ain_al_arab.al_bab.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.tell_abiad.abu_kamal.al_mayadin,
stop_points_loc_district_ain_al_arab.as_safira.a_zaz.jarablus.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_ain_al_arab.as_safira.a_zaz.jarablus.jebel_saman.menbij.al_hasakeh.quamishli.ras_al_ain.ath_thawrah.tell_abiad.abu_kamal,
stop_points_loc_district_ain_al_arab.as_safira.a_zaz.jarablus.menbij.al_malikeyyeh.quamishli.ath_thawrah.al_mayadin.other,
stop_points_loc_district_ain_al_arab.as_safira.a_zaz.jebel_saman.al_malikeyyeh.ras_al_ain.abu_kamal.al_mayadin.other,
stop_points_loc_district_ain_al_arab.as_safira.a_zaz.jebel_saman.menbij.al_hasakeh.al_malikeyyeh.ath_thawrah.al_mayadin.deir_ez_zor,
stop_points_loc_district_ain_al_arab.as_safira.a_zaz.jebel_saman.menbij.al_hasakeh.quamishli.ras_al_ain.ar_raqqa.ath_thawrah.tell_abiad.deir_ez_zor,
stop_points_loc_district_ain_al_arab.as_safira.a_zaz.quamishli.ras_al_ain.ar_raqqa.tell_abiad.al_mayadin,
stop_points_loc_district_ain_al_arab.as_safira.a_zaz.quamishli.ras_al_ain.ath_thawrah.tell_abiad.deir_ez_zor.other,
stop_points_loc_district_ain_al_arab.as_safira.jarablus.al_hasakeh.al_malikeyyeh.tell_abiad.al_mayadin.deir_ez_zor,
stop_points_loc_district_ain_al_arab.as_safira.jarablus.menbij.al_hasakeh.al_malikeyyeh.al_mayadin.deir_ez_zor,
stop_points_loc_district_ain_al_arab.as_safira.jarablus.menbij.al_hasakeh.ath_thawrah.tell_abiad.al_mayadin,
stop_points_loc_district_ain_al_arab.as_safira.jarablus.menbij.ras_al_ain.abu_kamal,
stop_points_loc_district_ain_al_arab.as_safira.jebel_saman.al_hasakeh.al_malikeyyeh.ras_al_ain.tell_abiad.al_mayadin.deir_ez_zor.other,
stop_points_loc_district_ain_al_arab.as_safira.jebel_saman.al_malikeyyeh.ar_raqqa.tell_abiad.al_mayadin,
