"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"123","stop_points",NA,"no","NA","64% (56%-73%)",NA,0.560984377261022,0.727904511627867,NA,NA,NA
"217","stop_points",NA,"yes","NA","36% (27%-44%)",NA,0.272095488372133,0.439015622738978,NA,NA,NA
"124","stop_points_loc_district",NA,"ain_al_arab","NA","6% (-1%-13%)",NA,-0.00901086918589848,0.134010869185898,NA,NA,NA
"218","stop_points_loc_district",NA,"ain_al_arab quamishli","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"310","stop_points_loc_district",NA,"al_hasakeh","NA","6% (-1%-13%)",NA,-0.00901086918589848,0.134010869185898,NA,NA,NA
"410","stop_points_loc_district",NA,"al_hasakeh al_malikeyyeh ar_raqqa","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"58","stop_points_loc_district",NA,"al_malikeyyeh","NA","34% (20%-48%)",NA,0.203435542494252,0.484064457505748,NA,NA,NA
"65","stop_points_loc_district",NA,"al_malikeyyeh quamishli","NA","6% (-1%-13%)",NA,-0.0090108691858985,0.134010869185898,NA,NA,NA
"71","stop_points_loc_district",NA,"ar_raqqa","NA","6% (-1%-13%)",NA,-0.00901086918589848,0.134010869185898,NA,NA,NA
"81","stop_points_loc_district",NA,"quamishli","NA","31% (18%-45%)",NA,0.175567110684407,0.449432889315593,NA,NA,NA
"91","stop_points_loc_district",NA,"quamishli other","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"125","stop_points_location",NA,"ain_al_arab","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"219","stop_points_location",NA,"al_hasakeh","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"311","stop_points_location",NA,"al_malikeyyeh","NA","22% (10%-34%)",NA,0.0966219407035202,0.34087805929648,NA,NA,NA
"411","stop_points_location",NA,"al_malikeyyeh ar_raqqa","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"59","stop_points_location",NA,"al_malikeyyeh jawadiyah quamishli","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"66","stop_points_location",NA,"al_malikeyyeh quamishli","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"72","stop_points_location",NA,"ar_raqqa","NA","6% (-1%-13%)",NA,-0.00901086918589848,0.134010869185898,NA,NA,NA
"82","stop_points_location",NA,"jawadiyah","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"92","stop_points_location",NA,"jawadiyah ya_robiyah","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"101","stop_points_location",NA,"qahtaniyyeh","NA","9% (1%-18%)",NA,0.00763951052863597,0.179860489471364,NA,NA,NA
"1110","stop_points_location",NA,"qahtaniyyeh quamishli","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"12","stop_points_location",NA,"quamishli","NA","22% (10%-34%)",NA,0.0966219407035202,0.34087805929648,NA,NA,NA
"13","stop_points_location",NA,"sarin","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"14","stop_points_location",NA,"tal_hmis","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"15","stop_points_location",NA,"tal_tamer","NA","3% (-2%-8%)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"16","stop_points_location",NA,"ya_robiyah","NA","6% (-1%-13%)",NA,-0.00901086918589848,0.134010869185898,NA,NA,NA
"126","transport",NA,"Bus","NA","1% (-1%-3%)",NA,-0.00716504029946081,0.029387262521683,NA,NA,NA
"220","transport",NA,"Car","NA","42% (34%-51%)",NA,0.336106348121798,0.508338096322646,NA,NA,NA
"312","transport",NA,"Foot","NA","50% (41%-59%)",NA,0.412822932125533,0.587177067874467,NA,NA,NA
